GUID,Region,Male,Female,Total
F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,2802.00,2207.00,5009.00
604546A1-A856-4B9B-AD46-E88B27C27155,South West,285.00,186.00,471.00
42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,265.00,131.00,396.00
27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,203.00,120.00,323.00
8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,163.00,68.00,231.00
A69CA800-8D87-4920-A7C1-50426A1D39B4,West,119.00,70.00,189.00
B1A65D7C-1984-4A87-AD58-0E846812C992,Border,131.00,62.00,193.00
B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,50.00,44.00,94.00
